Model,RMSE,MAE,R²,Rozmiar (MB)
LightGBM,1.027327183092932,0.25071145908810455,0.9999785843939862,0.5579404830932617
MLP FP32,13.205459875832668,10.894123077392578,0.9964615106582642,0.04946422576904297
MLP Pruned,127.18984180890784,58.91817092895508,0.6717402338981628,0.049551963806152344
MLP Quantized INT8,15.187050392811274,11.902785301208496,0.9953198432922363,0.018197059631347656
